ENSG0001	gene_1
ENSG0002	gene_2
ENSG0003	gene_3
ENSG0004	gene_4
ENSG0005	gene_5
ENSG0006	MT-6
ENSG0007	gene_7
ENSG0008	gene_8
ENSG0009	gene_9
ENSG00010	gene_10
ENSG00011	gene_11
ENSG00012	gene_12
ENSG00013	gene_13
ENSG00014	gene_14
ENSG00015	gene_15
ENSG00016	gene_16
ENSG00017	gene_17
ENSG00018	gene_18
ENSG00019	gene_19
ENSG00020	gene_20
ENSG00021	MT-21
ENSG00022	gene_22
ENSG00023	gene_23
ENSG00024	gene_24
ENSG00025	gene_25
ENSG00026	gene_26
ENSG00027	gene_27
ENSG00028	gene_28
ENSG00029	gene_29
ENSG00030	gene_30
ENSG00031	gene_31
ENSG00032	gene_32
ENSG00033	gene_33
ENSG00034	gene_34
ENSG00035	gene_35
ENSG00036	gene_36
ENSG00037	MT-37
ENSG00038	gene_38
ENSG00039	gene_39
ENSG00040	gene_40
ENSG00041	gene_41
ENSG00042	gene_42
ENSG00043	MT-43
ENSG00044	gene_44
ENSG00045	gene_45
ENSG00046	MT-46
ENSG00047	MT-47
ENSG00048	gene_48
ENSG00049	gene_49
ENSG00050	gene_50
ENSG00051	MT-51
ENSG00052	gene_52
ENSG00053	MT-53
ENSG00054	gene_54
ENSG00055	gene_55
ENSG00056	gene_56
ENSG00057	MT-57
ENSG00058	gene_58
ENSG00059	gene_59
ENSG00060	gene_60
ENSG00061	gene_61
ENSG00062	gene_62
ENSG00063	gene_63
ENSG00064	gene_64
ENSG00065	gene_65
ENSG00066	gene_66
ENSG00067	gene_67
ENSG00068	gene_68
ENSG00069	MT-69
ENSG00070	gene_70
ENSG00071	gene_71
ENSG00072	gene_72
ENSG00073	gene_73
ENSG00074	gene_74
ENSG00075	gene_75
ENSG00076	gene_76
ENSG00077	gene_77
ENSG00078	gene_78
ENSG00079	gene_79
ENSG00080	gene_80
ENSG00081	gene_81
ENSG00082	gene_82
ENSG00083	gene_83
ENSG00084	gene_84
ENSG00085	gene_85
ENSG00086	gene_86
ENSG00087	gene_87
ENSG00088	gene_88
ENSG00089	gene_89
ENSG00090	gene_90
ENSG00091	gene_91
ENSG00092	gene_92
ENSG00093	gene_93
ENSG00094	gene_94
ENSG00095	gene_95
ENSG00096	MT-96
ENSG00097	gene_97
ENSG00098	gene_98
ENSG00099	gene_99
ENSG000100	gene_100
ENSG000101	gene_101
ENSG000102	gene_102
ENSG000103	gene_103
ENSG000104	gene_104
ENSG000105	gene_105
ENSG000106	gene_106
ENSG000107	gene_107
ENSG000108	gene_108
ENSG000109	gene_109
ENSG000110	gene_110
ENSG000111	gene_111
ENSG000112	gene_112
ENSG000113	gene_113
ENSG000114	gene_114
ENSG000115	gene_115
ENSG000116	gene_116
ENSG000117	gene_117
ENSG000118	gene_118
ENSG000119	gene_119
ENSG000120	gene_120
ENSG000121	gene_121
ENSG000122	gene_122
ENSG000123	gene_123
ENSG000124	gene_124
ENSG000125	gene_125
ENSG000126	gene_126
ENSG000127	gene_127
ENSG000128	gene_128
ENSG000129	gene_129
ENSG000130	gene_130
ENSG000131	gene_131
ENSG000132	gene_132
ENSG000133	MT-133
ENSG000134	MT-134
ENSG000135	gene_135
ENSG000136	gene_136
ENSG000137	gene_137
ENSG000138	gene_138
ENSG000139	gene_139
ENSG000140	gene_140
ENSG000141	gene_141
ENSG000142	gene_142
ENSG000143	MT-143
ENSG000144	gene_144
ENSG000145	gene_145
ENSG000146	gene_146
ENSG000147	MT-147
ENSG000148	gene_148
ENSG000149	gene_149
ENSG000150	gene_150
ENSG000151	MT-151
ENSG000152	gene_152
ENSG000153	gene_153
ENSG000154	gene_154
ENSG000155	gene_155
ENSG000156	gene_156
ENSG000157	gene_157
ENSG000158	MT-158
ENSG000159	gene_159
ENSG000160	gene_160
ENSG000161	gene_161
ENSG000162	gene_162
ENSG000163	gene_163
ENSG000164	MT-164
ENSG000165	gene_165
ENSG000166	gene_166
ENSG000167	gene_167
ENSG000168	gene_168
ENSG000169	MT-169
ENSG000170	gene_170
ENSG000171	gene_171
ENSG000172	MT-172
ENSG000173	gene_173
ENSG000174	gene_174
ENSG000175	gene_175
ENSG000176	gene_176
ENSG000177	gene_177
ENSG000178	gene_178
ENSG000179	gene_179
ENSG000180	gene_180
ENSG000181	gene_181
ENSG000182	gene_182
ENSG000183	gene_183
ENSG000184	gene_184
ENSG000185	MT-185
ENSG000186	gene_186
ENSG000187	gene_187
ENSG000188	gene_188
ENSG000189	gene_189
ENSG000190	gene_190
ENSG000191	gene_191
ENSG000192	gene_192
ENSG000193	gene_193
ENSG000194	gene_194
ENSG000195	gene_195
ENSG000196	gene_196
ENSG000197	gene_197
ENSG000198	gene_198
ENSG000199	gene_199
ENSG000200	gene_200
ENSG000201	gene_201
ENSG000202	gene_202
ENSG000203	gene_203
ENSG000204	MT-204
ENSG000205	gene_205
ENSG000206	gene_206
ENSG000207	gene_207
ENSG000208	gene_208
ENSG000209	gene_209
ENSG000210	gene_210
ENSG000211	gene_211
ENSG000212	gene_212
ENSG000213	gene_213
ENSG000214	gene_214
ENSG000215	MT-215
ENSG000216	gene_216
ENSG000217	gene_217
ENSG000218	gene_218
ENSG000219	gene_219
ENSG000220	gene_220
ENSG000221	gene_221
ENSG000222	gene_222
ENSG000223	gene_223
ENSG000224	MT-224
ENSG000225	gene_225
ENSG000226	gene_226
ENSG000227	gene_227
ENSG000228	gene_228
ENSG000229	gene_229
ENSG000230	gene_230
ENSG000231	gene_231
ENSG000232	gene_232
ENSG000233	gene_233
ENSG000234	gene_234
ENSG000235	gene_235
ENSG000236	gene_236
ENSG000237	gene_237
ENSG000238	MT-238
